,T_int,logg,lam,f_nu
448,90.0,2.0,1.44793,1.1282288888888889e-07
449,90.0,2.0,1.44963,4.248610476190476e-07
450,90.0,2.0,1.45132,4.51799746031746e-07
451,90.0,2.0,1.45303,3.8935400000000003e-07
452,90.0,2.0,1.45473,1.5737333333333333e-07
453,90.0,2.0,1.45644,1.7540120634920633e-07
454,90.0,2.0,1.45814,1.505284126984127e-07
455,90.0,2.0,1.45985,7.513227936507936e-08
456,90.0,2.0,1.46157,2.6155790476190477e-08
457,90.0,2.0,1.46328,2.0788212698412697e-08
458,90.0,2.0,1.46499,4.2544933333333336e-08
459,90.0,2.0,1.46671,6.859853333333333e-08
460,90.0,2.0,1.46843,6.310169841269841e-08
461,90.0,2.0,1.47015,3.1133847619047624e-08
462,90.0,2.0,1.47188,2.6308615873015872e-08
463,90.0,2.0,1.4736,3.8192079365079364e-08
464,90.0,2.0,1.47533,4.931629523809523e-08
465,90.0,2.0,1.47706,3.162859682539683e-08
466,90.0,2.0,1.47879,2.5222266666666666e-08
467,90.0,2.0,1.48053,5.866865714285714e-08
468,90.0,2.0,1.48226,5.2397568253968256e-08
469,90.0,2.0,1.484,7.274893968253968e-08
470,90.0,2.0,1.48574,6.173050476190476e-08
471,90.0,2.0,1.48748,9.6037873015873e-08
472,90.0,2.0,1.48923,8.53896253968254e-08
473,90.0,2.0,1.49097,5.230228253968254e-08
474,90.0,2.0,1.49272,1.7482857142857145e-08
475,90.0,2.0,1.49447,1.1583244444444444e-08
476,90.0,2.0,1.49622,4.208148571428571e-08
477,90.0,2.0,1.49798,4.7610266666666664e-08
478,90.0,2.0,1.49973,3.977704444444444e-08
479,90.0,2.0,1.50149,2.2063107936507934e-08
480,90.0,2.0,1.50325,2.4025901587301588e-08
481,90.0,2.0,1.50502,2.1143485714285714e-08
482,90.0,2.0,1.50678,1.0716742857142856e-08
483,90.0,2.0,1.50855,5.282455873015873e-09
484,90.0,2.0,1.51032,7.205155873015873e-09
485,90.0,2.0,1.51209,6.250678412698412e-09
486,90.0,2.0,1.51386,7.043731746031747e-09
487,90.0,2.0,1.51563,3.9506469841269845e-08
488,90.0,2.0,1.51741,7.417500317460317e-08
489,90.0,2.0,1.51919,8.915410158730158e-08
