,T_int,logg,lam,f_nu
541,90.0,2.4,1.43338,1.89387e-07
542,90.0,2.4,1.43509,1.74342e-07
543,90.0,2.4,1.43682,1.29801e-07
544,90.0,2.4,1.43854,1.04462e-07
545,90.0,2.4,1.44026,8.9068e-08
546,90.0,2.4,1.44199,1.36473e-07
547,90.0,2.4,1.44372,1.21531e-07
548,90.0,2.4,1.44545,9.84049e-08
549,90.0,2.4,1.44719,4.36119e-08
550,90.0,2.4,1.44892,9.33532e-08
551,90.0,2.4,1.45066,1.27262e-07
552,90.0,2.4,1.4524,1.19682e-07
553,90.0,2.4,1.45414,1.02063e-07
554,90.0,2.4,1.45588,1.27527e-07
555,90.0,2.4,1.45763,1.17943e-07
556,90.0,2.4,1.45938,8.63196e-08
557,90.0,2.4,1.46113,2.68799e-08
558,90.0,2.4,1.46288,2.15566e-08
559,90.0,2.4,1.46463,3.47489e-08
560,90.0,2.4,1.46639,5.83814e-08
561,90.0,2.4,1.46815,5.52265e-08
562,90.0,2.4,1.46991,3.22689e-08
563,90.0,2.4,1.47167,1.71576e-08
564,90.0,2.4,1.47344,2.73725e-08
565,90.0,2.4,1.4752,3.88606e-08
566,90.0,2.4,1.47697,3.30915e-08
567,90.0,2.4,1.47875,2.61029e-08
568,90.0,2.4,1.48052,4.45617e-08
569,90.0,2.4,1.48229,3.71406e-08
570,90.0,2.4,1.48407,5.61437e-08
571,90.0,2.4,1.48585,5.1574e-08
572,90.0,2.4,1.48763,7.71839e-08
573,90.0,2.4,1.48942,6.14382e-08
574,90.0,2.4,1.4912,3.64069e-08
575,90.0,2.4,1.49299,1.05167e-08
576,90.0,2.4,1.49478,1.26871e-08
577,90.0,2.4,1.49658,3.91507e-08
578,90.0,2.4,1.49837,4.11109e-08
579,90.0,2.4,1.50017,3.38842e-08
580,90.0,2.4,1.50197,1.91138e-08
581,90.0,2.4,1.50377,1.89769e-08
582,90.0,2.4,1.50557,1.47376e-08
583,90.0,2.4,1.50738,7.03126e-09
584,90.0,2.4,1.50918,6.45308e-09
585,90.0,2.4,1.51099,8.74076e-09
586,90.0,2.4,1.51281,5.72453e-09
587,90.0,2.4,1.51462,1.48351e-08
588,90.0,2.4,1.51644,3.66708e-08
589,90.0,2.4,1.51826,5.37025e-08
590,90.0,2.4,1.52008,5.23076e-08
591,90.0,2.4,1.5219,3.44833e-08
592,90.0,2.4,1.52372,4.32965e-08
593,90.0,2.4,1.52555,6.17264e-08
594,90.0,2.4,1.52738,7.92484e-08
595,90.0,2.4,1.52921,8.85309e-08
596,90.0,2.4,1.53105,1.19154e-07
597,90.0,2.4,1.53288,1.43019e-07
